,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.5697859779979733,17.0
1,SNX-USD,LINK-USD,0.3608417036562421,23.0
2,SNX-USD,ENJ-USD,7.122320123878953,4.0
3,SNX-USD,ZRX-USD,10.639505846505065,11.0
4,SNX-USD,COMP-USD,0.06635137834917025,8.0
5,SNX-USD,NEAR-USD,1.4810023278835238,6.0
6,SNX-USD,ADA-USD,6.412372883747449,11.0
7,XTZ-USD,ETC-USD,0.04976017633432823,24.0
8,XTZ-USD,LINK-USD,0.14041462919464306,6.0
9,XTZ-USD,ENJ-USD,2.770012984448003,17.0
10,XTZ-USD,COMP-USD,0.025807057313592778,24.0
11,XTZ-USD,UMA-USD,0.468793667060819,13.0
12,ICP-USD,YFI-USD,0.0007184538249230119,24.0
13,ICP-USD,UMA-USD,2.431399084566948,8.0
14,ICP-USD,UNI-USD,0.9313958696188828,18.0
15,ETC-USD,LINK-USD,2.8210763276692123,20.0
16,ETC-USD,DOGE-USD,249.62474365179054,9.0
17,ZEC-USD,UMA-USD,16.483984206137716,11.0
18,LINK-USD,ZRX-USD,29.477802004204708,10.0
19,LINK-USD,UMA-USD,3.3382453114931083,16.0
20,BCH-USD,ETH-USD,0.06021585400607899,10.0
21,ENJ-USD,COMP-USD,0.009315394474028554,10.0
22,ENJ-USD,NEAR-USD,0.2079195769106641,8.0
23,ENJ-USD,ADA-USD,0.9001599742437407,18.0
24,ENJ-USD,UMA-USD,0.16919158044533494,12.0
25,ZRX-USD,COMP-USD,0.006234487478085287,15.0
26,ZRX-USD,UMA-USD,0.1132507404547429,8.0
27,ZRX-USD,UNI-USD,0.04338795106281038,22.0
28,YFI-USD,UNI-USD,1296.0971086608308,10.0
29,NEAR-USD,ADA-USD,4.329108214832457,20.0
30,NEAR-USD,UMA-USD,0.8136637173755858,11.0
31,NEAR-USD,CRV-USD,1.8935926054940908,18.0
32,XMR-USD,BTC-USD,0.005447279606587447,12.0
33,ADA-USD,UMA-USD,0.1878067663992037,23.0
34,ADA-USD,MATIC-USD,0.419061579555778,12.0
35,UMA-USD,CRV-USD,2.3266351230037245,9.0
36,UMA-USD,UNI-USD,0.382955253674259,24.0
